,Demographics,,,,,,,,,,,,,,,,Employment,,,,,,Disability.Status,,,,,,Mental.Health,,,,,,,,COVID.Vaccine.and.Long.COVID,,,,,,Society.and.Arts,,,,,,,,,,Childcare,,,,,,,,Housing,,,,,,Health.Insurance,,Food.Security,,,,,,Internet.Security,,,,,,
SCRAM,EST_ST,EST_MSA,REGION,TBIRTH_YEAR,RHISPANIC,RRACE,EEDUC,MS,EGENID_BIRTH,SEXUAL_ORIENTATION_RV,THHLD_NUMPER,THHLD_NUMKID,TENROLLPUB,TENROLLPRV,TENROLLHMSCH,INCOME,WRKLOSSRV,ANYWORK,KINDWORK,RSNNOWRKRV,TWDAYS,TWDAYS_RESP,SEEING,HEARING,MOBILITY,REMEMBERING,SELFCARE,UNDERSTAND,ANXIOUS,WORRY,INTEREST,DOWN,MHLTH_NEED,MHLTH_GET,MHLTH_SATISFD,MHLTH_DIFFCLT,RECVDVACC,RVACCDATE,HADCOVIDRV,SYMPTOMS,LONGCOVID,SYMPTMIMPCT,SOCIAL1,SOCIAL2,SUPPORT1,SUPPORT2,SUPPORT3,SUPPORT4_RV,LIVENTERTAINMENT,ARTEXHIBIT,MOVIES,PARTINARTS,CHILDCARE,CHILDCARE_RSLT1,CHILDCARE_RSLT2,CHILDCARE_RSLT3,CHILDCARE_RSLT4,CHILDCARE_RSLT5,CHILDCARE_RSLT6,CHILDCARE_RSLT7,TENURE,LIVQTRRV,RENTCHNG,RENTCUR,MORTCUR,ENERGY,PRIVHLTH,PUBHLTH,EXPNS_DIF,CURFOODSUF,FREEFOOD,FDBENEFIT1,FDBENEFIT2,FDBENEFIT3,HOME_INTERNET,MOBILE_INTERNET,REDUCED_INT1,REDUCED_INT2,REDUCED_INT3,REDUCED_INT4,CANCEL_INTERNET
P090000001,Idaho,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1957,No,White,Graduate degree,1,1,4,2,0,0,0,0,8,1,1,2,10,3,3,2,1,2,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,5,1,2,4,4,1,2,1,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000003,Tennessee,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1968,No,White,Associate's degree,5,2,2,2,0,0,0,0,4,2,1,2,10,1,1,1,2,1,1,1,1,2,2,1,1,4,4,4,6,1,3,2,5,5,5,2,4,4,3,4,5,2,2,1,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,2,2,2,2,2,2,1,1,2,2,2,2,5
P090000005,Florida,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1958,No,Black,High school graduate or equivalent,3,1,2,1,0,0,0,0,3,2,2,6,5,4,4,3,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,5,5,3,1,4,1,2,2,2,4,3,3,3,3,3,3,3,3,2,3,7,3,1,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000007,New Mexico,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1950,No,White,High school graduate or equivalent,3,1,2,1,0,0,0,0,2,2,2,6,5,4,4,1,1,1,1,1,1,1,1,3,1,4,4,4,6,1,3,2,5,5,5,1,5,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000013,New Hampshire,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1966,No,White,High school graduate or equivalent,5,1,2,2,0,0,0,0,1,2,2,6,4,4,4,2,1,2,2,1,1,1,1,1,1,4,4,4,6,2,4,1,2,3,1,2,3,4,2,4,1,2,2,2,4,3,3,3,3,3,3,3,3,3,6,4,1,3,3,2,1,4,2,2,1,2,2,1,1,1,2,2,2,2
P090000014,Louisiana,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1992,No,Black,Associate's degree,5,2,3,4,2,2,0,0,1,1,2,6,2,4,4,3,2,2,3,1,1,4,3,3,3,2,1,1,3,2,4,2,5,5,5,3,3,1,1,1,1,2,2,2,3,1,2,2,2,1,2,2,2,3,3,6,1,3,1,2,1,4,3,2,1,2,2,1,1,1,2,2,2,2
P090000019,West Virginia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1953,No,White,Graduate degree,2,2,2,3,1,1,0,0,6,2,2,6,5,4,4,1,1,3,1,1,1,1,1,2,1,3,5,5,7,1,2,2,5,5,5,1,4,4,4,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,3,2,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090000025,Illinois,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1941,No,White,Bachelor's degree,2,1,2,1,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,4,3,1,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,2,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000027,Maryland,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1977,No,Black,Bachelor's degree,5,1,3,1,0,0,0,0,7,2,1,1,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,3,3,2,2,3,1,1,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000030,North Dakota,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1955,Yes,White,High school graduate or equivalent,3,1,2,1,0,0,0,0,2,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,3,3,1,1,2,2,1,1,3,3,3,3,3,3,3,3,1,4,7,3,4,3,1,1,2,2,2,2,2,2,1,1,1,2,2,2,4
