,Demographics,,,,,,,,,,,,,,,,Employment,,,,,,Disability Status,,,,,,Mental Health,,,,,,,,COVID Vaccine and Long COVID,,,,,,Society and Arts,,,,,,,,,,Childcare,,,,,,,,Housing,,,,,,Health Insurance,,Food Security,,,,,,Internet Security,,,,,,
Participant ID,State,Metro Area ,Region,D1,D2,D3,D4,D5,D6,D9,D10,D11,D13,D13,D13,INC1,EMP1,EMP2,EMP3,EMP4,SPN5,SPN5_DAYSTW2,DIS1,DIS2,DIS3,DIS4,DIS5,DIS6,HLTH1,HLTH2,HLTH3,HLTH4,MH1,MH2,MH3,MH4,VAC1,VAC2,VAC8_B,PASC1,PASC2,PASC4,SOC1,SOC2,SOCInd1,SOCInd2,SOCInd3,SOCInd4,ART1,ART2,ART3,ART5,EMP7,EMP8,EMP8,EMP8,EMP8,EMP8,EMP8,EMP8,HSE1,HSE2,HSENEW2,HSE3,HSE4,HSE10,,,SPN4,FD1,FD4,FD6_NEW,FD6_NEW,FD6_NEW,INT1,INT2,INT3,INT3,INT3,INT3,INT4
SCRAM,EST_ST,EST_MSA,REGION,TBIRTH_YEAR,RHISPANIC,RRACE,EEDUC,MS,EGENID_BIRTH,SEXUAL_ORIENTATION_RV,THHLD_NUMPER,THHLD_NUMKID,TENROLLPUB,TENROLLPRV,TENROLLHMSCH,INCOME,WRKLOSSRV,ANYWORK,KINDWORK,RSNNOWRKRV,TWDAYS,TWDAYS_RESP,SEEING,HEARING,MOBILITY,REMEMBERING,SELFCARE,UNDERSTAND,ANXIOUS,WORRY,INTEREST,DOWN,MHLTH_NEED,MHLTH_GET,MHLTH_SATISFD,MHLTH_DIFFCLT,RECVDVACC,RVACCDATE,HADCOVIDRV,SYMPTOMS,LONGCOVID,SYMPTMIMPCT,SOCIAL1,SOCIAL2,SUPPORT1,SUPPORT2,SUPPORT3,SUPPORT4_RV,LIVENTERTAINMENT,ARTEXHIBIT,MOVIES,PARTINARTS,CHILDCARE,CHILDCARE_RSLT1,CHILDCARE_RSLT2,CHILDCARE_RSLT3,CHILDCARE_RSLT4,CHILDCARE_RSLT5,CHILDCARE_RSLT6,CHILDCARE_RSLT7,TENURE,LIVQTRRV,RENTCHNG,RENTCUR,MORTCUR,ENERGY,PRIVHLTH,PUBHLTH,EXPNS_DIF,CURFOODSUF,FREEFOOD,FDBENEFIT1,FDBENEFIT2,FDBENEFIT3,HOME_INTERNET,MOBILE_INTERNET,REDUCED_INT1,REDUCED_INT2,REDUCED_INT3,REDUCED_INT4,CANCEL_INTERNET
P090000001,16,,,1957,1,1,7,1,1,4,2,0,0,0,0,8,1,1,2,10,3,3,2,1,2,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,5,1,2,4,4,1,2,1,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090000003,47,,,1968,1,1,5,5,2,2,2,0,0,0,0,4,2,1,2,10,1,1,1,2,1,1,1,1,2,2,1,1,4,4,4,6,1,3,2,5,5,5,2,4,4,3,4,5,2,2,1,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,2,2,2,2,2,2,1,1,2,2,2,2,5
P090000005,12,,,1958,1,2,3,3,1,2,1,0,0,0,0,3,2,2,6,5,4,4,3,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,5,5,3,1,4,1,2,2,2,4,3,3,3,3,3,3,3,3,2,3,7,3,1,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000007,35,,,1950,1,1,3,3,1,2,1,0,0,0,0,2,2,2,6,5,4,4,1,1,1,1,1,1,1,1,3,1,4,4,4,6,1,3,2,5,5,5,1,5,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090000013,33,,,1966,1,1,3,5,1,2,2,0,0,0,0,1,2,2,6,4,4,4,2,1,2,2,1,1,1,1,1,1,4,4,4,6,2,4,1,2,3,1,2,3,4,2,4,1,2,2,2,4,3,3,3,3,3,3,3,3,3,6,4,1,3,3,2,1,4,2,2,1,2,2,1,1,1,2,2,2,2
P090000014,22,,,1992,1,2,5,5,2,3,4,2,2,0,0,1,1,2,6,2,4,4,3,2,2,3,1,1,4,3,3,3,2,1,1,3,2,4,2,5,5,5,3,3,1,1,1,1,2,2,2,3,1,2,2,2,1,2,2,2,3,3,6,1,3,1,2,1,4,3,2,1,2,2,1,1,1,2,2,2,2
P090000019,54,,,1953,1,1,7,2,2,2,3,1,1,0,0,6,2,2,6,5,4,4,1,1,3,1,1,1,1,1,2,1,3,5,5,7,1,2,2,5,5,5,1,4,4,4,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,3,2,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090000025,17,16980,,1941,1,1,6,2,1,2,1,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,4,3,1,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,2,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
